communityName,Type,BfZ,KP,all2019,ind2019,sheltInd2019,unsheltInd2019,chind2019
"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",Other Largely Urban CoC,,,255,169,136,33,79
St. Louis City/St. Louis County CoCs,Other Largely Urban CoC,x,,1518,1027,950,77,201
St. Louis County CoC,Largely Suburban CoC,,,487,281,257,24,29
"St. Petersburg, Clearwater, Largo/Pinellas County CoC",Largely Suburban CoC,,,2415,2034,1209,825,718
St.Louis City CoC,Other Largely Urban CoC,,,1031,746,693,53,172
Stockton/San Joaquin County CoC,Other Largely Urban CoC,,,2631,2102,554,1548,704
Sullivan County CoC,Largely Rural CoC,,,162,59,59,0,0
"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",Largely Suburban CoC,,,732,552,539,13,30
"Tacoma, Lakewood/Pierce County CoC",Largely Suburban CoC,,,1486,1111,520,591,325
Tallahassee/Leon County CoC,Other Largely Urban CoC,x,,966,751,669,82,147
Tampa/Hillsborough County CoC,Major City CoC,,,1650,1194,522,672,260
Tehama County CoC,Largely Rural CoC,,,288,231,43,188,123
Tennessee Valley,Largely Rural CoC,x,,515,376,105,271,39
Texas Balance of State CoC - Abilene,Largely Rural CoC,x,,8072,6180,1750,4430,570
Toledo/Lucas County CoC,Other Largely Urban CoC,,,611,361,349,12,48
Topeka/Shawnee County CoC,Other Largely Urban CoC,,,441,329,264,65,158
Trenton/Mercer County CoC,Largely Suburban CoC,,,448,324,245,79,68
Troy/Rensselaer County CoC,Largely Suburban CoC,,,199,116,106,10,9
Tucson/Pima County CoC,Major City CoC,x,,1372,1015,654,361,345
Tulsa City & County CoC,Major City CoC,,,1188,939,675,264,225
"Turlock, Modesto/Stanislaus County CoC",Largely Suburban CoC,,,1923,1514,499,1015,260
Tuscaloosa City & County CoC,Other Largely Urban CoC,,,44,27,27,0,0
Upper Cumberland CoC,Largely Rural CoC,,,273,204,145,59,21
"Upper Darby, Chester, Haverford/Delaware County CoC",Largely Suburban CoC,,,400,223,175,48,21
Utah Balance of State CoC,Largely Suburban CoC,,,793,490,342,148,104
"Utica, Rome/Oneida, Madison Counties CoC",Largely Rural CoC,,,168,121,110,11,6
Vallejo/Solano County CoC,Other Largely Urban CoC,,,1151,1072,148,924,169
Vancouver/Clark County CoC,Largely Suburban CoC,,,958,506,220,286,152
Vermont Balance of State CoC,Largely Rural CoC,,,780,453,389,64,105
Virgin Islands CoC,Largely Rural CoC,,,314,314,82,232,105
Virginia Balance of State - Petersburg,Largely Rural CoC,x,,761,389,289,100,24
Virginia Balance of State - Waynesboro,Largely Rural CoC,x,,761,389,289,100,24
Virginia Beach CoC,Major City CoC,,,260,190,136,54,38
"Visalia/Kings, Tulare Counties CoC",Other Largely Urban CoC,,,1064,929,188,741,304
Waco/McLennan County CoC,Largely Rural CoC,,,193,134,65,69,33
"Warren, Sussex, Hunterdon Counties CoC",Largely Suburban CoC,,,334,240,212,28,30
Washington Balance of State CoC,Largely Rural CoC,,,5509,3834,1789,2045,1299
Washington County CoC,Largely Suburban CoC,x,x,530,396,194,202,122
Washtenaw County,Largely Suburban CoC,x,,273,193,181,12,58
Watsonville/Santa Cruz City & County CoC,Largely Suburban CoC,x,x,2167,1748,271,1477,354
"Wayne, Ontario, Seneca, Yates Counties CoC",Largely Rural CoC,,,205,136,135,1,80
West Central Illinois CoC,Largely Rural CoC,,,68,36,34,2,3
West Palm Beach/Palm Beach County CoC,Largely Suburban CoC,x,,1397,1133,210,923,215
West Virginia Balance of State CoC,Largely Rural CoC,,,797,654,484,170,79
Western Pennsylvania CoC,Largely Rural CoC,,,727,464,433,31,17
Western Virginia CoC,Largely Rural CoC,x,,342,233,205,28,41
"Wheeling, Weirton Area CoC",Largely Rural CoC,,,136,102,93,9,13
"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Largely Rural CoC,,,243,217,158,59,11
Wichita/Sedgwick County CoC,Other Largely Urban CoC,,,593,426,369,57,20
"Wicomico, Somerset, Worcester Counties CoC",Largely Rural CoC,,,275,198,161,37,41
"Wilkes-Barre, Hazleton/Luzerne County CoC",Largely Suburban CoC,,,164,97,90,7,2
"Wilmington/Brunswick, New Hanover, Pender Counties CoC",Largely Suburban CoC,,,431,342,184,158,49
Winston-Salem/Forsyth County CoC,Other Largely Urban CoC,x,,454,380,356,24,68
Wisconsin Balance of State CoC,Largely Rural CoC,,,2875,1418,1329,89,254
Worcester City & County CoC,Largely Suburban CoC,,,1593,662,500,162,63
Wyoming Statewide CoC,Largely Rural CoC,,,548,437,329,108,64
Wyoming Statewide CoC,Largely Rural CoC,,,548,437,329,108,64
"Yonkers, Mount Vernon/Westchester County CoC",Largely Suburban CoC,,,1812,607,575,32,84
York City & County CoC,Largely Suburban CoC,,,321,177,147,30,13
Youngstown/Mahoning County CoC,Other Largely Urban CoC,,,148,116,107,9,14
Yuba City & County/Sutter County CoC,Largely Suburban CoC,,,721,545,105,440,206
